Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 65.0.3325.162,,2018-03-19 09:54:19,2018-03-19 09:54:34,15.895s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 65.0.3325.162,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-03-19 09:54:19,2018-03-19 09:54:26,7.063s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 09:54:19,2018-03-19 09:54:20,0.041s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 09:54:20,2018-03-19 09:54:20,0.001s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-19 09:54:20,2018-03-19 09:54:23,3.833s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 09:54:23,2018-03-19 09:54:24,0.375s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 09:54:24,2018-03-19 09:54:25,0.813s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 09:54:25,2018-03-19 09:54:25,0.503s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 09:54:25,2018-03-19 09:54:25,0.001s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 09:54:25,2018-03-19 09:54:25,0.256s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 09:54:25,2018-03-19 09:54:25,0.004s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 65.0.3325.162,,2018-03-19 09:54:25,2018-03-19 09:54:25,0.069s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-19 09:54:25,2018-03-19 09:54:26,0.759s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 65.0.3325.162,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-03-19 09:54:26,2018-03-19 09:54:34,8.262s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 09:54:26,2018-03-19 09:54:26,0.002s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 09:54:26,2018-03-19 09:54:26,0.001s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-19 09:54:26,2018-03-19 09:54:29,2.539s,PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-19 09:54:29,2018-03-19 09:54:31,1.563s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 09:54:31,2018-03-19 09:54:31,0.001s,PASSED
Statement - If (true),Chrome 65.0.3325.162,,2018-03-19 09:54:31,2018-03-19 09:54:33,2.171s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 09:54:33,2018-03-19 09:54:33,0.001s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 09:54:33,2018-03-19 09:54:33,0.255s,PASSED
verifyTextPresent,Chrome 65.0.3325.162,,2018-03-19 09:54:33,2018-03-19 09:54:33,0.150s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 09:54:33,2018-03-19 09:54:33,0.000s,PASSED
Statement - If (true),Chrome 65.0.3325.162,,2018-03-19 09:54:33,2018-03-19 09:54:34,0.544s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-19 09:54:34,2018-03-19 09:54:34,0.765s,PASSED
