Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 65.0.3325.162,,2018-03-19 03:51:00,2018-03-19 03:51:16,16.296s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 65.0.3325.162,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-03-19 03:51:01,2018-03-19 03:51:08,6.944s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:51:01,2018-03-19 03:51:01,0.037s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:51:01,2018-03-19 03:51:01,0.001s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-19 03:51:01,2018-03-19 03:51:05,4.003s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 03:51:05,2018-03-19 03:51:06,0.462s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 03:51:06,2018-03-19 03:51:06,0.535s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 03:51:06,2018-03-19 03:51:06,0.242s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:51:06,2018-03-19 03:51:06,0.001s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 03:51:06,2018-03-19 03:51:07,0.369s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:51:07,2018-03-19 03:51:07,0.002s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 65.0.3325.162,,2018-03-19 03:51:07,2018-03-19 03:51:07,0.060s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-19 03:51:07,2018-03-19 03:51:08,0.818s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 65.0.3325.162,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-03-19 03:51:08,2018-03-19 03:51:16,8.717s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:51:08,2018-03-19 03:51:08,0.002s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:51:08,2018-03-19 03:51:08,0.001s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-19 03:51:08,2018-03-19 03:51:11,2.886s,PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-19 03:51:11,2018-03-19 03:51:12,1.705s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:51:12,2018-03-19 03:51:12,0.003s,PASSED
Statement - If (true),Chrome 65.0.3325.162,,2018-03-19 03:51:12,2018-03-19 03:51:14,1.812s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:51:14,2018-03-19 03:51:14,0.001s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 03:51:14,2018-03-19 03:51:15,0.445s,PASSED
verifyTextPresent,Chrome 65.0.3325.162,,2018-03-19 03:51:15,2018-03-19 03:51:15,0.184s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:51:15,2018-03-19 03:51:15,0.001s,PASSED
Statement - If (true),Chrome 65.0.3325.162,,2018-03-19 03:51:15,2018-03-19 03:51:15,0.358s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-19 03:51:15,2018-03-19 03:51:16,1.029s,PASSED
