Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 65.0.3325.162,,2018-03-20 01:32:33,2018-03-20 01:32:46,12.902s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 65.0.3325.162,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-03-20 01:32:33,2018-03-20 01:32:39,6.152s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-20 01:32:34,2018-03-20 01:32:34,0.050s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-20 01:32:34,2018-03-20 01:32:34,0.007s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-20 01:32:34,2018-03-20 01:32:37,3.543s,PASSED
click,Chrome 65.0.3325.162,,2018-03-20 01:32:37,2018-03-20 01:32:38,0.297s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-20 01:32:38,2018-03-20 01:32:38,0.265s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-20 01:32:38,2018-03-20 01:32:38,0.175s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-20 01:32:38,2018-03-20 01:32:38,0.001s,PASSED
click,Chrome 65.0.3325.162,,2018-03-20 01:32:38,2018-03-20 01:32:38,0.174s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-20 01:32:38,2018-03-20 01:32:38,0.004s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 65.0.3325.162,,2018-03-20 01:32:38,2018-03-20 01:32:39,0.125s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-20 01:32:39,2018-03-20 01:32:39,0.657s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 65.0.3325.162,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-03-20 01:32:39,2018-03-20 01:32:45,6.304s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-20 01:32:39,2018-03-20 01:32:39,0.001s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-20 01:32:39,2018-03-20 01:32:39,0.001s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-20 01:32:39,2018-03-20 01:32:42,3.118s,PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-20 01:32:42,2018-03-20 01:32:44,1.085s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-20 01:32:44,2018-03-20 01:32:44,0.001s,PASSED
Statement - If (true),Chrome 65.0.3325.162,,2018-03-20 01:32:44,2018-03-20 01:32:44,0.771s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-20 01:32:44,2018-03-20 01:32:44,0.000s,PASSED
click,Chrome 65.0.3325.162,,2018-03-20 01:32:44,2018-03-20 01:32:44,0.155s,PASSED
verifyTextPresent,Chrome 65.0.3325.162,,2018-03-20 01:32:44,2018-03-20 01:32:45,0.101s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-20 01:32:45,2018-03-20 01:32:45,0.001s,PASSED
Statement - If (true),Chrome 65.0.3325.162,,2018-03-20 01:32:45,2018-03-20 01:32:45,0.236s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-20 01:32:45,2018-03-20 01:32:45,0.650s,PASSED
